direction,setup_type,entry_time,exit_time,hour,entry,exit,stop,target,quantity,pnl,r_multiple,exit_reason,score,adx,rvol
LONG,BREAKOUT,2026-04-17 10:30:00,2026-04-20 09:45:00,10,647.9199,646.0737,646.0837,651.5923,54,-99.7,-1.01,STOP,85,60.73,0.0
SHORT,PULLBACK,2026-04-20 10:25:00,2026-04-20 10:50:00,10,646.395,644.1588,647.5182,644.1488,88,196.79,1.99,TARGET,85,25.72,0.51
SHORT,PULLBACK,2026-04-20 11:30:00,2026-04-20 13:20:00,11,644.6701,646.0397,646.0297,641.951,74,-101.35,-1.01,STOP,85,32.2,0.55
LONG,PULLBACK,2026-04-21 09:50:00,2026-04-21 10:10:00,9,648.12,649.873,647.2385,649.883,113,198.09,1.99,TARGET,85,24.74,0.96
LONG,BREAKOUT,2026-04-22 10:10:00,2026-04-22 15:20:00,10,651.15,654.3291,649.5555,654.3391,63,200.28,1.99,TARGET,85,28.97,0.54
LONG,PULLBACK,2026-04-24 10:35:00,2026-04-24 11:40:00,10,659.0,662.4879,657.2511,662.4979,59,205.78,1.99,TARGET,85,28.33,0.4
SHORT,PULLBACK,2026-04-28 11:00:00,2026-04-28 14:00:00,11,655.53,657.0863,657.0763,652.4374,68,-105.83,-1.01,STOP,85,44.84,0.51
LONG,PULLBACK,2026-05-01 11:10:00,2026-05-04 10:45:00,11,674.08,676.5152,672.8574,676.5252,85,207.0,1.99,TARGET,85,32.93,0.49
LONG,PULLBACK,2026-05-05 10:20:00,2026-05-06 09:30:00,10,680.87,683.4383,679.5808,683.4483,83,213.17,1.99,TARGET,85,39.13,1.0
LONG,PULLBACK,2026-05-06 10:05:00,2026-05-06 10:15:00,10,689.845,688.3348,688.3448,692.8455,72,-108.74,-1.01,STOP,85,36.19,0.65
LONG,PULLBACK,2026-05-06 10:30:00,2026-05-06 14:05:00,10,690.04,693.1468,688.4817,693.1568,69,214.37,1.99,TARGET,85,30.02,0.41
LONG,BREAKOUT,2026-05-07 09:50:00,2026-05-07 10:20:00,9,697.43,699.2062,696.5369,699.2162,123,218.47,1.99,TARGET,85,46.24,0.69
LONG,PULLBACK,2026-05-11 10:05:00,2026-05-11 10:25:00,10,712.0,710.7259,710.7359,714.5281,88,-112.12,-1.01,STOP,85,30.9,0.5
LONG,PULLBACK,2026-05-11 10:45:00,2026-05-12 09:30:00,10,712.1799,710.7885,710.7985,714.9427,80,-111.31,-1.01,STOP,85,24.72,0.56
SHORT,BREAKOUT,2026-05-12 09:55:00,2026-05-12 10:15:00,9,706.035,707.7858,707.7758,702.5534,63,-110.3,-1.01,STOP,85,30.51,1.1
SHORT,PULLBACK,2026-05-12 10:20:00,2026-05-12 10:30:00,10,707.261,703.7328,709.0301,703.7228,61,215.22,1.99,TARGET,85,34.09,0.45
LONG,PULLBACK,2026-05-13 10:20:00,2026-05-13 12:15:00,10,708.84,712.4792,707.0154,712.4892,60,218.35,1.99,TARGET,100,24.81,7.92
LONG,PULLBACK,2026-05-14 10:00:00,2026-05-14 10:10:00,10,717.6,716.1794,716.1894,720.4213,80,-113.65,-1.01,STOP,85,20.77,0.83
SHORT,PULLBACK,2026-05-18 09:55:00,2026-05-18 10:30:00,9,709.24,705.6205,711.0547,705.6105,61,220.79,1.99,TARGET,85,21.66,0.74
SHORT,PULLBACK,2026-05-19 10:40:00,2026-05-19 11:15:00,10,697.19,699.6692,699.6592,692.2517,46,-114.04,-1.0,STOP,85,22.67,0.6
SHORT,BREAKOUT,2026-05-21 10:20:00,2026-05-21 10:30:00,10,707.5003,709.2643,709.2543,703.9923,64,-112.9,-1.01,STOP,85,25.99,0.91
SHORT,PULLBACK,2026-05-21 11:05:00,2026-05-21 11:10:00,11,707.75,709.4975,709.4875,704.2751,64,-111.84,-1.01,STOP,85,23.7,0.62
LONG,BREAKOUT,2026-05-22 10:55:00,2026-05-22 15:15:00,10,719.68,718.1922,718.2022,722.6355,75,-111.58,-1.01,STOP,85,26.2,0.42
LONG,BREAKOUT,2026-05-26 09:45:00,2026-05-26 10:35:00,9,727.67,731.1104,725.9448,731.1204,63,216.75,1.99,TARGET,100,45.97,1.79
LONG,PULLBACK,2026-05-27 10:00:00,2026-05-27 10:05:00,10,730.41,728.8912,728.9012,733.4276,74,-112.39,-1.01,STOP,85,23.75,0.7
LONG,PULLBACK,2026-05-29 10:30:00,2026-05-29 10:35:00,10,739.26,737.9837,737.9937,741.7926,87,-111.04,-1.01,STOP,85,27.71,0.84
SHORT,PULLBACK,2026-06-04 10:15:00,2026-06-04 10:55:00,10,735.32,737.3819,737.3719,731.2162,53,-109.28,-1.0,STOP,85,38.48,0.51
SHORT,PULLBACK,2026-06-05 10:20:00,2026-06-05 11:35:00,10,726.11,721.6207,728.3597,721.6107,48,215.49,2.0,TARGET,85,45.57,0.52
LONG,PULLBACK,2026-06-12 10:00:00,2026-06-12 10:45:00,10,717.26,714.2004,714.2104,723.3593,36,-110.15,-1.0,STOP,85,28.34,0.75
LONG,BREAKOUT,2026-06-15 09:45:00,2026-06-16 10:30:00,9,741.59,738.7606,738.7706,747.2288,38,-107.52,-1.0,STOP,100,30.66,1.67
SHORT,PULLBACK,2026-06-17 09:55:00,2026-06-17 10:10:00,9,730.91,733.0665,733.0565,726.617,50,-107.82,-1.0,STOP,85,23.83,0.73
LONG,PULLBACK,2026-06-18 10:30:00,2026-06-22 09:30:00,10,736.18,742.8501,732.8399,742.8601,32,213.44,2.0,TARGET,85,28.44,0.56
LONG,BREAKOUT,2026-06-22 09:55:00,2026-06-22 10:15:00,9,744.705,742.7157,742.7257,748.6637,55,-109.41,-1.01,STOP,85,22.02,0.48
SHORT,BREAKOUT,2026-06-23 11:05:00,2026-06-23 12:10:00,11,717.44,720.0136,720.0036,712.3128,42,-108.09,-1.0,STOP,85,37.01,0.6
LONG,PULLBACK,2026-06-30 11:00:00,2026-06-30 12:45:00,11,732.0199,735.5966,730.2265,735.6066,60,214.6,1.99,TARGET,85,44.99,0.8
LONG,BREAKOUT,2026-07-06 09:45:00,2026-07-07 09:30:00,9,722.6854,720.1391,720.1491,727.758,43,-109.49,-1.0,STOP,85,33.09,1.19
SHORT,PULLBACK,2026-07-08 09:45:00,2026-07-08 09:55:00,9,707.43,709.2351,709.2251,703.8397,60,-108.31,-1.01,STOP,85,34.4,1.3
SHORT,PULLBACK,2026-07-08 10:10:00,2026-07-08 10:20:00,10,706.67,708.6741,708.6641,702.6819,53,-106.22,-1.01,STOP,85,29.27,0.73
SHORT,PULLBACK,2026-07-08 10:25:00,2026-07-08 11:15:00,10,707.19,702.8557,709.3622,702.8457,49,212.38,2.0,TARGET,85,27.01,0.43
LONG,PULLBACK,2026-07-09 10:45:00,2026-07-09 13:10:00,10,719.55,723.6487,717.4956,723.6587,52,213.14,2.0,TARGET,85,31.62,0.46
SHORT,PULLBACK,2026-07-10 10:30:00,2026-07-10 11:15:00,10,721.075,723.054,723.044,717.137,56,-110.82,-1.01,STOP,80,22.35,2.78
SHORT,PULLBACK,2026-07-13 10:15:00,2026-07-13 10:20:00,10,714.675,716.6739,716.6639,710.6972,55,-109.94,-1.01,STOP,100,41.47,1.62
LONG,PULLBACK,2026-07-14 10:30:00,2026-07-14 10:50:00,10,719.299,716.8655,716.8755,724.146,44,-107.07,-1.0,STOP,85,32.04,1.07
